row_index,MPN,Part_Desc,Manufacturer,Brand,Classpath,evidence_type,evidence_source,product_identity_check,taxonomy_check,contradiction_check,fabrication_check,final_validation,reason
1,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Belts,PRODUCT_SPECIFIC_OFFICIAL_URL,https://www.diablotools.com/products/DCB518ASTS06G,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
2,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,3M Company,3M®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,PRODUCT_SPECIFIC_OFFICIAL_URL,https://www.3m.com/3M/en_US/p/d/b40064784/,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
3,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,3M Company,3M®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,PRODUCT_SPECIFIC_OFFICIAL_URL,https://www.3m.com/3M/en_US/p/d/b40064784/,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
4,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,3M Company,3M®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
5,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,3M Company,3M®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
6,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M Company,3M®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
7,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M Company,3M®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
8,5B-332-080,"5B-332-080 HIOLIT 5"" P80",Mirka Abrasives Inc,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
9,5B-332-120,"5B-332-120 HIOLIT 5"" P120",Mirka Abrasives Inc,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
10,9A-570-240,9A-570-240 Abranet 2.75x30,Mirka Abrasives Inc,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
11,9A-570-320,9A-570-320 Abranet 2.75x30,Mirka Abrasives Inc,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
12,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,PRODUCT_SPECIFIC_OFFICIAL_URL,https://diablotools.com/products/DBD090094101F,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
13,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
14,DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,PRODUCT_SPECIFIC_OFFICIAL_URL,https://diablotools.com/products/DBDS12125G01F,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
15,DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
16,DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
17,49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,PRODUCT_SPECIFIC_DISTRIBUTOR_URL,https://toolup.com/products/milwaukee-49-94-0013-5-in-x-0-045-in-x-7-8-in-type-1-metal-cut-off-wheel-for-metal-and-stainless-steel-1-each,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
18,49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
19,49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
20,49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
21,49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
22,49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
23,49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
24,49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
25,49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,PRODUCT_SPECIFIC_DISTRIBUTOR_URL,https://toolup.com/products/milwaukee-49-94-0058-12-in-type-1-metal-cut-off-wheel-1-8-in-thick-20-mm-arbor,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
26,49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
27,49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,DIRECT_DATASET,Part_Desc_Input,PASS,PASS,PASS,PASS,PASS,Explicit product noun phrase matched valid category schema
